Industry,Best_Model,MAPE,R2,RMSE
科技,cnn,6.015675747024526,0.904207471141852,16.778139788496
医药,cnn,4.794991433076655,0.8611736738847869,28.76442085220109
金融,cnn,4.731073359617705,0.8519613296668342,8.516257874679651
能源,lstm,3.810238960881546,0.5576686608628741,4.188937643441659
消费,cnn,3.4986505423039285,0.6840312939687172,10.13322652908285
